日志：00:57:13.805 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- Starting OnlineShoppingMallApplicationTests using Java 17.0.6 with PID 26304 (started by Yu'S'hui'shen in E:\NewDeskope\24-25java-web\24-25Javaweb_work\Java_web_WorkHub\期末大作业_网上购物商城\online_shopping_mall)
日志：00:57:13.806 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- No active profile set, falling back to 1 default profile: "default"
日志：00:57:15.349 [main] INFO  o.h.jpa.internal.util.LogHelper --- HHH000204: Processing PersistenceUnitInfo [name: default]
日志：00:57:15.417 [main] INFO  org.hibernate.Version --- HHH000412: Hibernate ORM core version 6.5.2.Final
日志：00:57:15.459 [main] INFO  o.h.c.i.RegionFactoryInitiator --- HHH000026: Second-level cache disabled
日志：00:57:15.857 [main] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Starting...
日志：00:57:16.250 [main] INFO  com.zaxxer.hikari.pool.HikariPool --- HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4aa517c3
日志：00:57:16.252 [main] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Start completed.
日志：00:57:16.288 [main] WARN  org.hibernate.orm.deprecation --- HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
日志：00:57:16.289 [main] WARN  org.hibernate.orm.deprecation --- HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
日志：00:57:17.121 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator --- HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
日志：00:57:17.718 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration --- spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
日志：00:57:18.890 [main] INFO  j.o.OnlineShoppingMallApplicationTests --- Started OnlineShoppingMallApplicationTests in 5.47 seconds (process running for 6.396)
日志：00:57:19.522 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Shutdown initiated...
日志：00:57:19.531 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource --- HikariPool-1 - Shutdown completed.
